SampleID,Short Description,Biomass.Type,Class,Subclass,State,Location.Notes,LinkRef,Source,Full Description,Notes,Field11,Field12,Mod_By,Last_Mod,Moist ar,Moist ad,Ash ar,Ash ad,Ash db,VM ar,VM ad,VM db,VM daf,FC ar,FC ad,FC db,FC daf,CV MJ/kg ar,CV MJ/kg ad,CV MJ/kg db,CV MJ/kg daf,CV kcal/kg ar,CV kcal/kg ad,CV kcal/kg db,CV kcal/kg daf,C ar,C ad,C db,C daf,H ar,H ad,H db,H daf,N ar,N ad,N db,N daf,S ar,S ad,S db,S daf,O ar,O ad,O db,O daf,Cl mg/kg ar,Cl mg/kg ad,Cl mg/kg db,Cl mg/kg daf,Analysis.Note.1,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,FileNameRef,Extension,Data Sources,SSC_NAME16,STE_NAME16,Longitude,Latitude
1,Radiata pine chips,Industrial Processing,Timber industry,Woodchips (Softwood),NSW,Hunter Valley,1,B2,Radiata pine chips,Macquarie Generation (April 1999). (John Marcheff / Alan Macpherson / Jim Beckwith). (From Hunter Valley Sawmills for Liddell Test),pine,chips,SSH,8/09/2020,41.2,9.4,0.6,1,1.1,47.6,73.4,81,81.9,10.6,16.2,17.9,18.1,12.08,18.62,20.55,20.78,2886,4448,4908,4964,28.6,44,48.6,49.1,3.68,5.67,6.26,6.33,0.12,0.18,0.2,0.2,0.01,0.01,0.01,0.01,25.79,39.74,43.83,44.36,65,100,110,111.22,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.84,4.93,4.73,16.1,0.39,4.15,32.6,0.48,0.91,3.63,31.24,1,JPG,,Hunter Valley,New South Wales,151.7006,-32.1932
3,Dynamic lifter pellets (from chicken manure),Agricultural,Animal farming,Chicken manure pellets,NSW,NSW,3,B36,Yates dynamic lifter pellets (garden product derived from chicken manure) - Commercial product,Yates pellets - Commercial product (May 2000),other,any,SSH,8/09/2020,18.9,9.8,26.5,29.5,32.7,45.6,50.7,56.2,83.5,9,10,11.1,16.5,10.06,11.19,12.41,18.43,2402,2672,2964,4402,24.4,27.1,30,44.6,3.17,3.53,3.91,5.82,3.19,3.55,3.94,5.85,0.58,0.65,0.72,1.07,23.26,25.87,28.73,42.66,4765,5300,5875.83,8730.8,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.63,3.91,2.68,22.7,18.3,7.4,35.4,0.19,0.26,1.9,5.63,18,JPG,,New South Wales,New South Wales,,
4,Biosolids,Urban Waste,Biosolids,Treated biosolids,NSW,Quakers Hill,4,B3,Biosolids (Sewerage Sludge - dried 110C),S. Miller (Quakers Hill - dried 110C) (March 1999),other,other,SSH,8/09/2020,8.1,7.1,39.4,39.8,42.8,47.8,48.3,52,91,4.7,4.8,5.2,9,11.63,11.76,12.66,22.15,2778,2808,3024,5290,22.7,22.9,24.7,43.2,4,4.04,4.35,7.61,4.23,4.28,4.61,8.06,0.61,0.62,0.67,1.17,20.96,21.26,22.87,39.96,683,690,742.73,1298.49,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.37,1.73,12.8,28.9,15.5,1.35,2.48,0.69,0.15,25.7,10.33,22,JPG,,Quakers Hill,New South Wales,150.8889793,-33.72839216
5,Paper sludge,Industrial Processing,Paper industry,Paper sludge,NSW,AMCOR,5,B4,Paper sludge (dried at 105C),S. Miller (AMCOR - dried 105C) (March 1999),other,other,SSH,8/09/2020,7.8,4.9,24.1,24.9,26.2,59.2,61.1,64.2,87,8.9,9.1,9.6,13,13.04,13.45,14.14,19.16,3114,3212,3378,4576,29.9,30.8,32.4,43.9,4.58,4.72,4.96,6.72,0.44,0.45,0.47,0.64,0.16,0.17,0.17,0.23,33,34.1,35.8,48.51,863,890,936,1268.29,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.27,2.56,22.2,33.9,0.41,0.55,18.1,1.91,0.03,2.06,18.01,26,JPG,,AMCOR,New South Wales,,
6,Cotton seed hulls,Industrial Processing,Cotton Industry,Cotton seed hulls,NSW,Narrabri,6,B5,Cotton seed hulls,S. Joseph (Biomass Energy Service & Technology). (From Narrabri) (March 1999),cotton,other,SSH,8/09/2020,11.6,8.3,1.6,1.7,1.9,68.8,71.4,77.9,79.3,18,18.6,20.2,20.7,16.16,16.76,18.28,18.62,3860,4004,4366,4448,28.7,29.8,32.5,33.1,5.32,5.52,6.02,6.13,0.4,0.41,0.45,0.46,0.04,0.05,0.05,0.05,52.3,54.2,59.08,60.26,318,330,360,366.97,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.57,6.68,0.75,3.6,2.83,37.4,4.17,0.05,0.07,0.91,42.97,30,JPG,,Narrabri,New South Wales,149.7709993,-30.21985604
7,Rice hulls,Industrial Processing,Rice industry,Rice hulls,NSW,Yanco,7,B11,Rice hulls (long grain variety: Langi),"Tony Blakeney (BRI), Yanco Research Station plot, Long grain, May 1999",rice,other,SSH,8/09/2020,10,8.5,23.5,23.9,26.1,52.9,53.8,58.8,79.6,13.6,13.8,15.1,20.4,12.61,12.82,14.01,18.96,3012,6062,3346,4528,28,28.4,31.1,42.1,4.13,4.2,4.59,6.21,0.25,0.25,0.27,0.37,0.04,0.04,0.04,0.05,34.1,34.7,37.9,51.27,482,490,536,725.3,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.12,0.36,0.28,88.9,0.27,1.67,0.38,0.01,0.13,0.49,7.39,34,JPG,,Yanco,New South Wales,146.4018542,-34.62489477
8,Green waste,Urban Waste,Green waste,Raw Green waste,NSW,Kembla Grange,8,B18,Kerbside green waste (mainly lawn clippings),"Whytes Gully Waste Depot (JDS collected, July 1999), Mainly lawn clippings : Ian Foreman - Wollongong City. Council Centre, Reddals Road, Kembla Grange)",other,other,SSH,8/09/2020,81.6,8.7,9.8,48.8,53.5,6.2,30.6,33.5,72,2.4,11.9,13,28,1.81,8.97,9.82,21.11,432,2142,2346,5042,4,19.9,21.7,46.7,0.44,2.16,2.37,5.08,0.34,1.69,1.85,3.98,0.12,0.58,0.64,1.38,3.7,18.17,19.94,42.86,2459,12200,13360,28731.18,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.61,1.81,7.56,62.4,2.51,5.25,4.91,0.79,0.15,4.35,8.66,38,JPG,,Kembla Grange,New South Wales,150.7992,-34.4638
9,Bagasse,Industrial Processing,Sugar industry,Bagasse,NSW,NSW,9,B23,Bagasse (residues after sugar extraction),Fresh bagasse recoversd on belt between extraction and combustion by Bruce Lamb & JDS (9 July 1999),sugar_cane,other,SSH,8/09/2020,61.5,6.6,12.3,29.9,32,21.6,52.3,56,82.4,4.6,11.2,12,17.6,5.14,12.47,13.35,19.64,1228,2978,3188,4690,11.9,29,31,45.7,1.57,3.82,4.09,6.02,0.23,0.57,0.61,0.9,0.03,0.07,0.07,0.1,12.5,30.04,32.23,47.28,54,130,139,204.41,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.56,1.02,10.8,72.5,0.39,2.79,1.34,0.67,0.13,3.46,5.34,42,JPG,,New South Wales,New South Wales,,
10,Sugar cane trash,Agricultural,Crop farming,Sugar cane trash,NSW,NSW,10,B24,Sugar cane trash (fresh cane tops),Fresh trash (tops) collected by Bill & JDS. Typical of fuel to be collected in Bruce Lamb SERDF project (9 July 99),sugar_cane,other,SSH,8/09/2020,80.1,7.4,9.6,44.6,48.2,7.8,36.4,39.3,75.8,2.5,11.6,12.5,24.2,2.12,9.86,10.65,20.54,506,2356,2544,4906,4.7,21.6,23.4,45.1,0.6,2.78,3,5.79,0.21,0.99,1.07,2.06,0.03,0.14,0.15,0.29,4.8,22.49,24.18,46.76,838,3900,4212,8131.27,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.43,1.56,10.3,69.5,0.85,4.37,1.81,0.73,0.31,3.87,5.27,46,JPG,,New South Wales,New South Wales,,
11,Pine sawmill waste (softwood),Industrial Processing,Timber industry,Residues (Softwood),NSW,Oberon,11,B30,"Pine sawmill waste, 1-2mm residues",From Oberon Timbermill NSW,pine,other,SSH,8/09/2020,11.9,8.7,0.2,0.2,0.2,75.3,78,85.4,85.6,12.6,13.1,14.4,14.4,16.74,17.35,19,19.05,3998,4144,4538,4550,41,42.5,46.6,46.7,5.7,5.91,6.47,6.49,0.13,0.13,0.14,0.14,0.01,0.01,0.01,0.01,41.1,42.5,46.58,46.66,,,20,20.04,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.Note that Chlorine was below the lower detection limit of 40mg/kg. A value of 20mg/kg (db) has been entered to allow for correct average calculations",0.22,9.08,4,12.9,2.67,23.3,15.2,0.12,4.12,1.55,26.84,50,JPG,,Oberon,New South Wales,149.8493297,-33.69270116
